System ID,Public Link,Tag 1 Type,Tag 1 ID,Tag 1 Organization,Tag 2 Type,Tag 2 ID,Tag 2 Organization,Tag 3 Type,Tag 3 ID,Tag 3 Organization,Device Hardware ID,Device Type,Device Chassis,Device Serial Number,Device Model,Device Manufacturer,Registered in,Registered (process),Updated in (software),Updated in (web),Physical state,Trading state,Processor,RAM (MB),Data Storage Size (MB),Processor 1,Processor 1 Manufacturer,Processor 1 Model,Processor 1 Serial Number,Processor 1 Number of cores,Processor 1 Speed (GHz),Benchmark Processor 1 (points),Benchmark ProcessorSysbench Processor 1 (points),Processor 2,Processor 2 Manufacturer,Processor 2 Model,Processor 2 Serial Number,Processor 2 Number of cores,Processor 2 Speed (GHz),Benchmark Processor 2 (points),Benchmark ProcessorSysbench Processor 2 (points),RamModule 1,RamModule 1 Manufacturer,RamModule 1 Model,RamModule 1 Serial Number,RamModule 1 Size (MB),RamModule 1 Speed (MHz),RamModule 2,RamModule 2 Manufacturer,RamModule 2 Model,RamModule 2 Serial Number,RamModule 2 Size (MB),RamModule 2 Speed (MHz),RamModule 3,RamModule 3 Manufacturer,RamModule 3 Model,RamModule 3 Serial Number,RamModule 3 Size (MB),RamModule 3 Speed (MHz),RamModule 4,RamModule 4 Manufacturer,RamModule 4 Model,RamModule 4 Serial Number,RamModule 4 Size (MB),RamModule 4 Speed (MHz),DataStorage 1,DataStorage 1 Manufacturer,DataStorage 1 Model,DataStorage 1 Serial Number,DataStorage 1 Size (MB),Erasure DataStorage 1,Erasure DataStorage 1 Serial Number,Erasure DataStorage 1 Size (MB),Erasure DataStorage 1 Software,Erasure DataStorage 1 Result,Erasure DataStorage 1 Type,Erasure DataStorage 1 Method,Erasure DataStorage 1 Elapsed (hours),Erasure DataStorage 1 Date,Erasure DataStorage 1 Steps,Erasure DataStorage 1 Steps Start Time,Erasure DataStorage 1 Steps End Time,Benchm22ark DataStorage 1 Read Speed (MB/s),Benchmark DataStorage 1 Writing speed (MB/s),Test DataStorage 1 Software,Test DataStorage 1 Type,Test DataStorage 1 Result,Test DataStorage 1 Power on (hours used),Test DataStorage 1 Lifetime remaining (percentage),DataStorage 2,DataStorage 2 Manufacturer,DataStorage 2 Model,DataStorage 2 Serial Number,DataStorage 2 Size (MB),Erasure DataStorage 2,Erasure DataStorage 2 Serial Number,Erasure DataStorage 2 Size (MB),Erasure DataStorage 2 Software,Erasure DataStorage 2 Result,Erasure DataStorage 2 Type,Erasure DataStorage 2 Method,Erasure DataStorage 2 Elapsed (hours),Erasure DataStorage 2 Date,Erasure DataStorage 2 Steps,Erasure DataStorage 2 Steps Start Time,Erasure DataStorage 2 Steps End Time,Benchmark DataStorage 2 Read Speed (MB/s),Benchmark DataStorage 2 Writing speed (MB/s),Test DataStorage 2 Software,Test DataStorage 2 Type,Test DataStorage 2 Result,Test DataStorage 2 Power on (hours used),Test DataStorage 2 Lifetime remaining (percentage),DataStorage 3,DataStorage 3 Manufacturer,DataStorage 3 Model,DataStorage 3 Serial Number,DataStorage 3 Size (MB),Erasure DataStorage 3,Erasure DataStorage 3 Serial Number,Erasure DataStorage 3 Size (MB),Erasure DataStorage 3 Software,Erasure DataStorage 3 Result,Erasure DataStorage 3 Type,Erasure DataStorage 3 Method,Erasure DataStorage 3 Elapsed (hours),Erasure DataStorage 3 Date,Erasure DataStorage 3 Steps,Erasure DataStorage 3 Steps Start Time,Erasure DataStorage 3 Steps End Time,Benchmark DataStorage 3 Read Speed (MB/s),Benchmark DataStorage 3 Writing speed (MB/s),Test DataStorage 3 Software,Test DataStorage 3 Type,Test DataStorage 3 Result,Test DataStorage 3 Power on (hours used),Test DataStorage 3 Lifetime remaining (percentage),DataStorage 4,DataStorage 4 Manufacturer,DataStorage 4 Model,DataStorage 4 Serial Number,DataStorage 4 Size (MB),Erasure DataStorage 4,Erasure DataStorage 4 Serial Number,Erasure DataStorage 4 Size (MB),Erasure DataStorage 4 Software,Erasure DataStorage 4 Result,Erasure DataStorage 4 Type,Erasure DataStorage 4 Method,Erasure DataStorage 4 Elapsed (hours),Erasure DataStorage 4 Date,Erasure DataStorage 4 Steps,Erasure DataStorage 4 Steps Start Time,Erasure DataStorage 4 Steps End Time,Benchmark DataStorage 4 Read Speed (MB/s),Benchmark DataStorage 4 Writing speed (MB/s),Test DataStorage 4 Software,Test DataStorage 4 Type,Test DataStorage 4 Result,Test DataStorage 4 Power on (hours used),Test DataStorage 4 Lifetime remaining (percentage),Motherboard 1,Motherboard 1 Manufacturer,Motherboard 1 Model,Motherboard 1 Serial Number,Display 1,Display 1 Manufacturer,Display 1 Model,Display 1 Serial Number,GraphicCard 1,GraphicCard 1 Manufacturer,GraphicCard 1 Model,GraphicCard 1 Serial Number,GraphicCard 1 Memory (MB),GraphicCard 2,GraphicCard 2 Manufacturer,GraphicCard 2 Model,GraphicCard 2 Serial Number,GraphicCard 2 Memory (MB),NetworkAdapter 1,NetworkAdapter 1 Manufacturer,NetworkAdapter 1 Model,NetworkAdapter 1 Serial Number,NetworkAdapter 2,NetworkAdapter 2 Manufacturer,NetworkAdapter 2 Model,NetworkAdapter 2 Serial Number,SoundCard 1,SoundCard 1 Manufacturer,SoundCard 1 Model,SoundCard 1 Serial Number,SoundCard 2,SoundCard 2 Manufacturer,SoundCard 2 Model,SoundCard 2 Serial Number,Device Rate,Device Range,Processor Rate,Processor Range,RAM Rate,RAM Range,Data Storage Rate,Data Storage Range,Price,Benchmark RamSysbench (points)
39,https://api.usody.com/usody/devices/39,unamed,BNYQ5,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqsb,Desktop,Tower,czc038bqsb,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:15:46 2020,Workbench 11.0b11,2020-10-07 15:15:46.019785+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 41: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22610.8,10.4676,,,,,,,,,"RamModule 43: model 8jtf25664az-1g4d1, S/N e9c72c29",jedec id:80 2c,8jtf25664az-1g4d1,e9c72c29,2048,1333,"RamModule 44: model 8jtf25664az-1g4d1, S/N e8c72c29",jedec id:80 2c,8jtf25664az-1g4d1,e8c72c29,2048,1333,,,,,,,,,,,,,"HardDrive 45: model st3320418as, S/N 9vmnj7fq",seagate,st3320418as,9vmnj7fq,320072,harddrive-seagate-st3320418as-9vmnj7fq,9vmnj7fq,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:50,2020-10-13 15:32:41.237291+00:00,✓ – StepRandom 0:59:50,2020-10-13 14:32:49.878315+00:00,2020-10-13 15:32:40.862004+00:00,101.0,23.0,Workbench 11.0b11,Short,Success,1289,"305 days, 17:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 47: model 3646h, S/N czc038bqsb",hewlett-packard,3646h,czc038bqsb,,,,,"GraphicCard 46: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 40: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a6:62",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a6:62,,,,,"SoundCard 42: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,6.0278
48,https://api.usody.com/usody/devices/48,unamed,BADVB,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqsy,Desktop,Tower,czc038bqsy,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:21:59 2020,Workbench 11.0b11,2020-10-07 15:21:59.044092+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 49: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22610.04,10.4344,,,,,,,,,"RamModule 51: model 8jtf25664az-1g4d1, S/N 327b1a31",jedec id:80 2c,8jtf25664az-1g4d1,327b1a31,2048,1333,"RamModule 52: model 8jtf25664az-1g4d1, S/N 317b1a31",jedec id:80 2c,8jtf25664az-1g4d1,317b1a31,2048,1333,,,,,,,,,,,,,"HardDrive 53: model st3320418as, S/N 5vmhgyfc",seagate,st3320418as,5vmhgyfc,320072,harddrive-seagate-st3320418as-5vmhgyfc,5vmhgyfc,320072,Workbench 11.0b11,Success,EraseBasic,Shred,1:06:51,2020-10-13 16:25:29.275901+00:00,✓ – StepRandom 1:06:51,2020-10-13 15:18:37.410356+00:00,2020-10-13 16:25:28.435613+00:00,89.0,23.0,Workbench 11.0b11,Short,Success,1516,"310 days, 4:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 56: model 3646h, S/N czc038bqsy",hewlett-packard,3646h,czc038bqsy,,,,,"GraphicCard 55: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 54: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:53:75:67",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:53:75:67,,,,,"SoundCard 50: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.87,HIGH,79.60 €,5.9625
57,https://api.usody.com/usody/devices/57,unamed,9W7E5,My Organization,unamed,Z56D9,My Organization,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqt6,Desktop,Tower,czc038bqt6,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:23:21 2020,Workbench 11.0b11,2020-10-07 15:23:21.485181+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 357: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,2833,22610.04,10.4956,,,,,,,,,"RamModule 60: model 8jtf25664az-1g4d1, S/N acc72c29",jedec id:80 2c,8jtf25664az-1g4d1,acc72c29,2048,1333,"RamModule 61: model 8jtf25664az-1g4d1, S/N abc72c29",jedec id:80 2c,8jtf25664az-1g4d1,abc72c29,2048,1333,,,,,,,,,,,,,"HardDrive 62: model st3320418as, S/N 5vmhhctf",seagate,st3320418as,5vmhhctf,320072,harddrive-seagate-st3320418as-5vmhhctf,5vmhhctf,320072,Workbench 11.0b11,Success,EraseBasic,Shred,1:00:11,2020-10-13 14:19:27.669072+00:00,✓ – StepRandom 1:00:11,2020-10-13 13:19:14.968419+00:00,2020-10-13 14:19:26.050187+00:00,99.4,23.3,Workbench 11.0b11,Short,Success,1492,"411 days, 10:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 65: model 3646h, S/N czc038bqt6",hewlett-packard,3646h,czc038bqt6,,,,,"GraphicCard 64: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 63: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a7:46",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a7:46,,,,,"SoundCard 59: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,4.02,HIGH,4.0,HIGH,4.16,HIGH,3.88,HIGH,80.40 €,5.9757
66,https://api.usody.com/usody/devices/66,unamed,A93Z9,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqs9,Desktop,Tower,czc038bqs9,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:24:37 2020,Workbench 11.0b11,2020-10-07 15:24:37.407652+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,0,"Processor 67: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22610.64,10.4957,,,,,,,,,"RamModule 70: model 8jtf25664az-1g4d1, S/N e7c72c29",jedec id:80 2c,8jtf25664az-1g4d1,e7c72c29,2048,1333,"RamModule 71: model 8jtf25664az-1g4d1, S/N e6c72c29",jedec id:80 2c,8jtf25664az-1g4d1,e6c72c29,2048,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 74: model 3646h, S/N czc038bqs9",hewlett-packard,3646h,czc038bqs9,,,,,"GraphicCard 69: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 73: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a5:bd",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a5:bd,,,,,"SoundCard 68: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,5.9967
85,https://api.usody.com/usody/devices/85,unamed,ZBNQB,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqsm,Desktop,Tower,czc038bqsm,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:34:52 2020,Workbench 11.0b11,2020-10-07 15:34:52.584235+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 374: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,2833,22610.12,9.9908,,,,,,,,,"RamModule 88: model 8jtf25664az-1g4d1, S/N bab01931",jedec id:80 2c,8jtf25664az-1g4d1,bab01931,2048,1333,"RamModule 89: model 8jtf25664az-1g4d1, S/N b9b01931",jedec id:80 2c,8jtf25664az-1g4d1,b9b01931,2048,1333,,,,,,,,,,,,,"HardDrive 375: model st3320418as, S/N 5vmhhfw1",seagate,st3320418as,5vmhhfw1,320072,harddrive-seagate-st3320418as-5vmhhfw1,5vmhhfw1,320072,,,,,,,,,,100.0,25.0,Workbench 11.0b11,Short,Success,2475,"980 days, 13:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 93: model 3646h, S/N czc038bqsm",hewlett-packard,3646h,czc038bqsm,,,,,"GraphicCard 92: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 91: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:53:75:4a",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:53:75:4a,,,,,"SoundCard 86: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,4.02,HIGH,4.0,HIGH,4.16,HIGH,3.89,HIGH,80.40 €,6.0003
94,https://api.usody.com/usody/devices/94,unamed,N9DJ9,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqrd,Desktop,Tower,czc038bqrd,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:43:05 2020,Workbench 11.0b11,2020-10-07 15:43:05.079454+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 96: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22608.44,10.3341,,,,,,,,,"RamModule 98: model 8jtf25664az-1g4d1, S/N c9c72c29",jedec id:80 2c,8jtf25664az-1g4d1,c9c72c29,2048,1333,"RamModule 99: model 8jtf25664az-1g4d1, S/N c8c72c29",jedec id:80 2c,8jtf25664az-1g4d1,c8c72c29,2048,1333,,,,,,,,,,,,,"HardDrive 100: model st3320418as, S/N 9vmngtv1",seagate,st3320418as,9vmngtv1,320072,harddrive-seagate-st3320418as-9vmngtv1,9vmngtv1,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:57:09,2020-10-13 15:37:37.319224+00:00,✓ – StepRandom 0:57:09,2020-10-13 14:40:27.009231+00:00,2020-10-13 15:37:36.155835+00:00,104.0,23.1,Workbench 11.0b11,Short,Success,1851,"418 days, 7:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 102: model 3646h, S/N czc038bqrd",hewlett-packard,3646h,czc038bqrd,,,,,"GraphicCard 101: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 95: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a6:38",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a6:38,,,,,"SoundCard 97: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.89,HIGH,79.60 €,6.0013
103,https://api.usody.com/usody/devices/103,unamed,797R9,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqvg,Desktop,Tower,czc038bqvg,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:51:15 2020,Workbench 11.0b11,2020-10-07 15:51:15.186608+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 365: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22612.16,10.4587,,,,,,,,,"RamModule 106: model 8jtf25664az-1g4d1, S/N dfc72c29",jedec id:80 2c,8jtf25664az-1g4d1,dfc72c29,2048,1333,"RamModule 107: model 8jtf25664az-1g4d1, S/N e2c72c29",jedec id:80 2c,8jtf25664az-1g4d1,e2c72c29,2048,1333,,,,,,,,,,,,,"HardDrive 108: model st3320418as, S/N 9vmnhy04",seagate,st3320418as,9vmnhy04,320072,harddrive-seagate-st3320418as-9vmnhy04,9vmnhy04,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:56,2020-10-13 15:27:08.159826+00:00,✓ – StepRandom 0:59:56,2020-10-13 14:27:11.664870+00:00,2020-10-13 15:27:07.771615+00:00,99.4,23.2,Workbench 11.0b11,Short,Success,1899,"447 days, 23:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 111: model 3646h, S/N czc038bqvg",hewlett-packard,3646h,czc038bqvg,,,,,"GraphicCard 110: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 104: model 82567lm-3 gigabit network connection, S/N 00:23:24:13:a4:2d",intel corporation,82567lm-3 gigabit network connection,00:23:24:13:a4:2d,,,,,"SoundCard 109: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.98,HIGH,3.92,HIGH,4.16,HIGH,3.88,HIGH,79.60 €,6.0129
112,https://api.usody.com/usody/devices/112,unamed,E9KPB,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqtt,Desktop,Tower,czc038bqtt,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:53:16 2020,Workbench 11.0b11,2020-10-07 15:53:16.733755+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 118: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,2833,22607.96,10355,,,,,,,,,"RamModule 115: model 8jtf25664az-1g4d1, S/N 2f7b1a31",jedec id:80 2c,8jtf25664az-1g4d1,2f7b1a31,2048,1333,"RamModule 116: model 8jtf25664az-1g4d1, S/N 2e7b1a31",jedec id:80 2c,8jtf25664az-1g4d1,2e7b1a31,2048,1333,,,,,,,,,,,,,"HardDrive 117: model st3320418as, S/N 9vmnhy5a",seagate,st3320418as,9vmnhy5a,320072,harddrive-seagate-st3320418as-9vmnhy5a,9vmnhy5a,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:43,2020-10-13 15:29:25.208084+00:00,✓ – StepRandom 0:59:43,2020-10-13 14:29:40.858960+00:00,2020-10-13 15:29:24.758246+00:00,101.0,23.0,Workbench 11.0b11,Short,Success,1832,"417 days, 4:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 120: model 3646h, S/N czc038bqtt",hewlett-packard,3646h,czc038bqtt,,,,,"GraphicCard 119: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 113: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:53:75:54",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:53:75:54,,,,,"SoundCard 114: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,4.02,HIGH,4.0,HIGH,4.16,HIGH,3.88,HIGH,80.40 €,6.0084
121,https://api.usody.com/usody/devices/121,unamed,ABOZ5,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqsq,Desktop,Tower,czc038bqsq,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 15:55:02 2020,Workbench 11.0b11,2020-10-07 15:55:02.721844+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 123: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,1998,22611.64,10.6307,,,,,,,,,"RamModule 124: model 8jtf25664az-1g4d1, S/N c4b01931",jedec id:80 2c,8jtf25664az-1g4d1,c4b01931,2048,1333,"RamModule 125: model 8jtf25664az-1g4d1, S/N c3b01931",jedec id:80 2c,8jtf25664az-1g4d1,c3b01931,2048,1333,,,,,,,,,,,,,"HardDrive 354: model st3320418as, S/N 5vmhetce",seagate,st3320418as,5vmhetce,320072,harddrive-seagate-st3320418as-5vmhetce,5vmhetce,320072,Workbench 11.0b11,Success,EraseBasic,Shred,0:59:54,2020-10-13 12:21:48.813230+00:00,✓ – StepRandom 0:59:54,2020-10-13 11:21:53.573855+00:00,2020-10-13 12:21:47.634115+00:00,10.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 128: model 3646h, S/N czc038bqsq",hewlett-packard,3646h,czc038bqsq,,,,,"GraphicCard 127: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 122: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:53:75:75",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:53:75:75,,,,,"SoundCard 126: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,3.34,HIGH,3.92,HIGH,4.16,HIGH,2.01,MEDIUM,66.80 €,6.0323
129,https://api.usody.com/usody/devices/129,unamed,4BAVB,My Organization,,,,,,,desktop-hewlett-packard-hp_compaq_8000_elite_sff-czc038bqsx,Desktop,Tower,czc038bqsx,hp compaq 8000 elite sff,hewlett-packard,Wed Oct  7 16:00:04 2020,Workbench 11.0b11,2020-10-07 16:00:04.836040+00:00,,,,intel core2 quad cpu q9550 @ 2.83ghz,4096,320072,"Processor 358: model intel core2 quad cpu q9550 @ 2.83ghz, S/N None",intel corp.,intel core2 quad cpu q9550 @ 2.83ghz,,4,2833,22608.88,10.4088,,,,,,,,,"RamModule 133: model 8jtf25664az-1g4d1, S/N 307b1a31",jedec id:80 2c,8jtf25664az-1g4d1,307b1a31,2048,1333,"RamModule 134: model 8jtf25664az-1g4d1, S/N 347b1a31",jedec id:80 2c,8jtf25664az-1g4d1,347b1a31,2048,1333,,,,,,,,,,,,,"HardDrive 135: model st3320418as, S/N 5vmhgk8z",seagate,st3320418as,5vmhgk8z,320072,harddrive-seagate-st3320418as-5vmhgk8z,5vmhgk8z,320072,Workbench 11.0b11,Success,EraseBasic,Shred,1:00:10,2020-10-13 14:27:08.231528+00:00,✓ – StepRandom 1:00:10,2020-10-13 13:26:56.083750+00:00,2020-10-13 14:27:06.951487+00:00,94.9,22.6,Workbench 11.0b11,Short,Success,1723,"361 days, 4:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motherboard 137: model 3646h, S/N czc038bqsx",hewlett-packard,3646h,czc038bqsx,,,,,"GraphicCard 132: model 4 series chipset integrated graphics controller, S/N None",intel corporation,4 series chipset integrated graphics controller,,,,,,,,"NetworkAdapter 136: model 82567lm-3 gigabit network connection, S/N 1c:c1:de:57:5f:6a",intel corporation,82567lm-3 gigabit network connection,1c:c1:de:57:5f:6a,,,,,"SoundCard 131: model 82801jd/do hd audio controller, S/N None",intel corporation,82801jd/do hd audio controller,,,,,,4.02,HIGH,4.0,HIGH,4.16,HIGH,3.87,HIGH,80.40 €,5.9801
