Categoría: Todas las categorías

Ciudad,corona: (1/1/04 - 5/7/20)
Corona,100
Riverside,21
Drochtersen,11
Ghaziabad,7
Dresde,4
Leipzig,4
Essen,4
Dortmund,4
Gurgaon,4
Stuttgart,4
Semarang,4

Los Ángeles,2
San Diego,2
Ahmedabad,2
Bangalore,2
Fráncfort,2
Dubái,2
Copenhague,2
Yakarta,2
Nueva Delhi,2
Guadalajara,2
Mumbai,2
Hyderabad,2
Lucknow,2
Ciudad de México,2
Estocolmo,2
Surabaya,1
Chennai,1
Santiago,1
Zúrich,1
Milán,1
Daca,1
Melbourne,1
Lahore,1
São Paulo,1
Roma,1
Pune,1
Indore,1
Sídney,1
Lagos,1
Nueva York,1
Bogotá,1
Brisbane,1
Río de Janeiro,1
Estambul,1
Ámsterdam,1
Esmirna,1
Ankara,1
Houston,1
Ciudad Ho Chi Minh (Saigón),1
Chicago,1
Toronto,1
Londres,1
Buenos Aires,1
Singapur,1
Hanói,1
Madrid,1
Diadema,<1
París,<1
